PopNumber,PopName,Year,ML,Rep,Plant_ID,ShelfNumber,ShelfPlacement,SEEWRITTENDATA.GerminationDate,LC1,H1,LCH1_Date,LC2,H2,LCH2_Date,GrowthRate_LC (LC2-LC1)/days,GrowthRate_H (H2-H1)/days,FirstFlower_DayInDec
19,Mckinnon,2003,6,1,4.22,4,22,10/6/22,4,15.5,10.17,40,133,11.7,1.714285714,5.595238095,14
18,Marion2,2003,4,3,4.23,4,23,10/6/22,5,8.9,10.17,39,114.3,11.7,1.619047619,5.019047619,14
14,HareRd,2003,10,3,4.24,4,24,10/6/22,4,27,10.17,34,142.5,11.7,1.428571429,5.5,8
18,Marion2,2003,7,2,5.1,5,1,,3,4.1,10.17,25,134.3,11.4,1.222222222,7.233333333,16
1,Billings,2012,32,2,5.2,5,2,,3,9.8,10.17,34,121,11.4,1.722222222,6.177777778,8
20,NewBildad,2003,2,2,5.3,5,3,10/6/22,3,6,10.17,27,98.7,11.4,1.333333333,5.15,14
14,HareRoad,2012,9,2,5.4,5,4,10/6/22,2,1.7,10.17,16,119.8,11.4,0.777777778,6.561111111,14
20,NewBildad,2016,11,4,5.5,5,5,10/6/22,4,11.6,10.17,34,124,11.4,1.666666667,6.244444444,9
15,Horry1,2012,38,1,5.6,5,6,10/6/22,3,8.5,10.17,30,101.3,11.4,1.5,5.155555556,14
10,DuplinWest,2016,6,1,5.7,5,7,10/6/22,3,8.3,10.17,26,139.7,11.4,1.277777778,7.3,14
10,DuplinWest,2016,15,1,5.8,5,8,10/6/22,4,5.9,10.17,36,128.3,11.4,1.777777778,6.8,16
15,Horry1,2012,38,3,5.9,5,9,10/6/22,3,10.5,10.17,26,111.7,11.4,1.277777778,5.622222222,12
10,DuplinWest,2016,18,4,5.1,5,10,10/6/22,4,8.2,10.17,35,131.4,11.4,1.722222222,6.844444444,14
10,DuplinWest,2012,18,4,5.11,5,11,10/6/22,4,16.8,10.17,25,106.2,11.4,1.166666667,4.966666667,14
15,Horry1,2012,38,4,5.12,5,12,10/6/22,3,6.5,10.17,27,100,11.4,1.333333333,5.194444444,15
19,Mckinnon,2003,8,4,5.13,5,13,10/6/22,3,7,10.17,29,97.8,11.4,1.444444444,5.044444444,15
1,Billings,2003,8,4,5.14,5,14,10/6/22,4,6.2,10.17,41,98.5,11.4,2.055555556,5.127777778,14
20,NewBildad,2012,6,4,5.15,5,15,10/6/22,4,6.1,10.17,29,91.7,11.4,1.388888889,4.755555556,19
15,Horry1,2012,38,2,5.16,5,16,10/6/22,4,12.3,10.17,24,80,11.4,1.111111111,3.761111111,14
20,NewBildad,2016,11,3,5.17,5,17,10/6/22,4,16.7,10.17,30,69.6,11.4,1.444444444,2.938888889,12
15,Horry1,2012,24,1,5.18,5,18,10/6/22,4,5.5,10.17,30,117,11.4,1.444444444,6.194444444,20
15,Horry1,2012,37,3,5.19,5,19,10/6/22,4,12.3,10.17,35,128.4,11.4,1.722222222,6.45,16
10,DuplinWest,2016,2,4,5.2,5,20,10/6/22,3,14.8,10.17,33,98.1,11.7,1.428571429,3.966666667,NA
18,Marion2,2012,4,2,5.21,5,21,10/6/22,3,5.1,10.17,24,131,11.4,1.166666667,6.994444444,12
10,DuplinWest,2003,12,2,5.22,5,22,10/6/22,4,40.8,10.17,29,148,11.7,1.19047619,5.104761905,14
18,Marion2,2012,4,1,5.23,5,23,10/6/22,3,4.9,10.17,27,121.5,11.4,1.333333333,6.477777778,16
20,NewBildad,2012,2,4,6.1,6,1,10/6/22,3,3.9,10.17,29,188.8,11.4,1.444444444,10.27222222,NA
12,Florence,2003,7,2,6.2,6,2,10/6/22,3,6.1,10.17,19,76.5,11.4,0.888888889,3.911111111,NA
19,McKinnon,2012,13,2,6.3,6,3,10/6/22,3,5.2,10.17,25,117,11.4,1.222222222,6.211111111,NA
10,DuplinWest,2003,15,4,6.4,6,4,10/6/22,3,15.4,10.17,35,148.8,11.4,1.777777778,7.411111111,NA
10,DuplinWest,2012,32,1,6.5,6,5,10/6/22,3,4.1,10.17,30,166.4,11.4,1.5,9.016666667,NA
15,Horry1,2012,22,4,6.6,6,6,10/6/22,3,18.1,10.17,27,139.2,11.4,1.333333333,6.727777778,NA
18,Marion2,2012,5,1,6.7,6,7,10/6/22,3,27.3,10.17,27,146.4,11.4,1.333333333,6.616666667,NA
19,Mckinnon,2003,4,4,6.8,6,8,10/6/22,3,4.9,10.17,28,115.2,11.4,1.388888889,6.127777778,NA
14,HareRd,2003,14,4,6.9,6,9,10/6/22,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NewBildad,2003,10,2,6.1,6,10,10/6/22,3,12,10.17,25,114,11.4,1.222222222,5.666666667,14
18,Marion2,2012,5,3,6.11,6,11,10/6/22,3,11.6,10.17,24,113.4,11.4,1.166666667,5.655555556,12
19,Mckinnon,2003,4,3,6.12,6,12,10/6/22,3,4,10.17,22,108.2,11.4,1.055555556,5.788888889,17
15,Horry1,2003,1,4,6.13,6,13,10/6/22,3,14.2,10.17,27,99.4,11.4,1.333333333,4.733333333,8
32,WalnutGrove,2003,17,4,6.14,6,14,10/6/22,3,4.6,10.17,29,66.4,11.4,1.444444444,3.433333333,14
20,NewBildad,2016,3,3,6.15,6,15,10/6/22,3,22,10.17,24,129,11.4,1.166666667,5.944444444,9
12,Florence,2003,2,2,6.16,6,16,10/6/22,3,9.6,10.17,23,133.5,11.4,1.111111111,6.883333333,12
14,HareRoad,2012,37,1,6.17,6,17,10/6/22,3,14,10.17,22,102.5,11.4,1.055555556,4.916666667,7
14,HareRoad,2012,35,2,6.18,6,18,10/6/22,3,4.5,10.17,21,114.2,11.4,1,6.094444444,12
32,WalnutGrove,2003,17,2,6.19,6,19,10/6/22,3,4.5,10.17,25,50.1,11.4,1.222222222,2.533333333,NA
12,Florence,2012,16,3,6.2,6,20,10/6/22,4,15.7,10.17,30,109,11.4,1.444444444,5.183333333,NA
15,Horry1,2012,22,2,6.21,6,21,10/6/22,3,31.7,10.17,28,92,11.4,1.388888889,3.35,NA
18,Marion2,2003,5,3,6.22,6,22,10/6/22,3,16.5,10.17,27,157.5,11.4,1.333333333,7.833333333,NA
20,NewBildad,2016,2,4,7.1,7,1,10/6/22,3,10.4,10.17,22,87.2,11.3,1.117647059,4.517647059,12
19,Mckinnon,2003,1,4,7.2,7,2,10/6/22,3,6.1,10.17,25,124,11.3,1.294117647,6.935294118,14
20,NewBildad,2003,4,2,7.3,7,3,10/6/22,3,5.9,10.17,23,118.3,11.3,1.176470588,6.611764706,15
14,HareRd,2003,10,4,7.4,7,4,10/6/22,2,4.2,10.17,25,130.6,11.3,1.352941176,7.435294118,12
19,McKinnon,2012,18,3,7.5,7,5,10/6/22,3,3.4,10.17,28,95.5,11.3,1.470588235,5.417647059,16
18,Marion2,2003,7,1,7.6,7,6,10/6/22,2,3.8,10.17,24,75.5,11.3,1.294117647,4.217647059,16
14,HareRoad,2012,33,1,7.7,7,7,10/6/22,3,7.5,10.17,34,106.2,11.3,1.823529412,5.805882353,12
12,Florence,2003,9,3,7.8,7,8,10/6/22,4,6.9,10.17,35,75.9,11.3,1.823529412,4.058823529,14
10,DuplinWest,2012,20,2,7.9,7,9,10/6/22,3,4.8,10.17,32,92,11.3,1.705882353,5.129411765,14
12,Florence,2003,11,4,7.1,7,10,10/6/22,3,6.6,10.17,27,117.7,11.3,1.411764706,6.535294118,14
1,Billings,2012,32,3,7.11,7,11,10/6/22,3,5.1,10.17,39,83.8,11.3,2.117647059,4.629411765,12
32,WalnutGrove,2012,18,1,7.12,7,12,10/6/22,3,4.5,10.17,28,95,11.3,1.470588235,5.323529412,14
10,DuplinWest,2003,22,1,7.13,7,13,10/6/22,3,5.6,10.17,26,115.2,11.3,1.352941176,6.447058824,16
12,Florence,2003,2,4,7.14,7,14,10/6/22,3,7.8,10.17,30,115.4,11.3,1.588235294,6.329411765,15
15,Horry1,2012,20,1,7.15,7,15,10/6/22,3,16.5,10.17,32,112.5,11.3,1.705882353,5.647058824,12
18,Marion2,2012,6,4,7.16,7,16,10/6/22,4,12.6,10.17,27,121.6,11.3,1.352941176,6.411764706,13
20,NewBildad,2003,2,4,7.17,7,17,10/6/22,3,7.6,10.17,32,71.7,11.3,1.705882353,3.770588235,14
19,McKinnon,2012,18,2,7.18,7,18,10/6/22,4,10,10.17,28,124.7,11.3,1.411764706,6.747058824,12
18,Marion2,2003,5,2,7.19,7,19,10/6/22,3,18.4,10.17,21,126.4,11.3,1.058823529,6.352941176,14
20,NewBildad,2016,10,1,7.2,7,20,10/6/22,4,11.4,10.17,31,140.9,11.3,1.588235294,7.617647059,14
20,NewBildad,2016,1,3,7.21,7,21,10/6/22,4,10.8,10.17,23,105.2,11.3,1.117647059,5.552941176,6
18,Marion2,2003,7,3,7.22,7,22,10/6/22,3,4.3,10.17,29,103.3,11.3,1.529411765,5.823529412,14
19,McKinnon,2012,20,2,7.23,7,23,10/6/22,4,19.1,10.17,28,125,11.3,1.411764706,6.229411765,12
1,Billings,2003,5,4,8.1,8,1,10/6/22,3,3.2,10.17,16,68.4,11.3,0.764705882,3.835294118,14
20,NewBildad,2016,7,2,8.2,8,2,10/6/22,3,8.8,10.17,21,110.5,11.3,1.058823529,5.982352941,12
