DEBUG 02-05 13:49:15,099 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 02-05 13:49:16,037 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
DEBUG 02-05 13:53:47,120 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  02-05 13:53:47,122 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: E:\Users\Joanna\Dropbox\Professional\University_of_Michigan\WGS_pipeline\Baucom_Sasha_WGS\bayenv\PGDSpider_2.1.1.5\PGDSpider_2.1.1.5\spider.conf.xml
DEBUG 02-05 13:53:47,966 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 02-05 13:53:47,966 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 02-05 13:53:47,980 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 02-05 13:53:47,980 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 02-05 13:53:47,994 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 02-05 13:53:48,000 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 02-05 13:53:48,000 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 02-05 13:53:48,004 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 02-05 13:53:48,010 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 02-05 13:53:48,010 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 02-05 13:53:48,010 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 02-05 13:53:48,015 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 02-05 13:53:48,015 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 02-05 13:53:48,015 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 02-05 13:53:48,021 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 02-05 13:53:48,021 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 02-05 13:53:48,022 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 02-05 13:53:48,022 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 02-05 13:53:48,024 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 02-05 13:53:48,025 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 02-05 13:53:48,027 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 02-05 13:53:48,028 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 02-05 13:53:48,029 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 02-05 13:53:48,029 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 02-05 13:53:48,033 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 02-05 13:53:48,034 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 02-05 13:53:48,035 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 02-05 13:53:48,037 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 02-05 13:53:48,038 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 02-05 13:53:48,039 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 02-05 13:53:48,039 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 02-05 13:53:48,041 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 02-05 13:53:48,042 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 02-05 13:53:48,043 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 02-05 13:53:48,044 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 02-05 13:53:48,046 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 02-05 13:53:48,048 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 02-05 13:53:48,049 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 02-05 13:53:48,051 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 02-05 13:53:48,053 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 02-05 13:53:48,054 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 02-05 13:53:48,054 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 02-05 13:53:48,054 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 02-05 13:53:48,060 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 02-05 13:53:48,083 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 02-05 13:53:48,090 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 02-05 13:53:48,090 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 02-05 13:53:48,106 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 02-05 13:53:48,130 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 02-05 13:53:48,136 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 02-05 13:53:48,138 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 02-05 13:53:50,147 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
DEBUG 02-05 13:53:53,651 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 02-05 13:53:53,671 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 02-05 13:53:53,671 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 02-05 13:53:53,679 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 02-05 13:53:53,679 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 02-05 13:53:53,680 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 02-05 13:53:53,681 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 02-05 13:53:53,682 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 02-05 13:53:53,683 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
